John chased the dog .	chased; dog	"_,x,_,_,_"	"O,O,O,ARG1,O"
The dog was chased .	chased; dog	"_,_,_,x,_"	"O,ARG1,O,O,O"
Mary bit the apple .	bit; apple	"_,x,_,_,_"	"O,O,O,ARG1,O"
The apple was bitten .	bitten; apple	"_,_,_,x,_"	"O,ARG1,O,O,O"
Peter kicked the ball .	kicked; ball	"_,x,_,_,_"	"O,O,O,ARG1,O"
The ball was kicked .	kicked; ball	"_,_,_,x,_"	"O,ARG1,O,O,O"
Sarah threw the frisbee .	threw; frisbee	"_,x,_,_,_"	"O,O,O,ARG1,O"
The frisbee was thrown .	thrown; frisbee	"_,_,_,x,_"	"O,ARG1,O,O,O"
Tom cooked the meal .	cooked; meal	"_,x,_,_,_"	"O,O,O,ARG1,O"
The meal was cooked .	cooked; meal	"_,_,_,x,_"	"O,ARG1,O,O,O"
Jane baked the cake .	baked; cake	"_,x,_,_,_"	"O,O,O,ARG1,O"
The cake was baked .	baked; cake	"_,_,_,x,_"	"O,ARG1,O,O,O"
Mark painted the portrait .	painted; portrait	"_,x,_,_,_"	"O,O,O,ARG1,O"
The portrait was painted .	painted; portrait	"_,_,_,x,_"	"O,ARG1,O,O,O"
Emma wrote the novel .	wrote; novel	"_,x,_,_,_"	"O,O,O,ARG1,O"
The novel was written .	written; novel	"_,_,_,x,_"	"O,ARG1,O,O,O"
Paul sang the song .	sang; song	"_,x,_,_,_"	"O,O,O,ARG1,O"
The song was sung .	sung; song	"_,_,_,x,_"	"O,ARG1,O,O,O"
Anna built the house .	built; house	"_,x,_,_,_"	"O,O,O,ARG1,O"
The house was built .	built; house	"_,_,_,x,_"	"O,ARG1,O,O,O"
David drove the car .	drove; car	"_,x,_,_,_"	"O,O,O,ARG1,O"
The car was driven .	driven; car	"_,_,_,x,_"	"O,ARG1,O,O,O"
Lisa flew the plane .	flew; plane	"_,x,_,_,_"	"O,O,O,ARG1,O"
The plane was flown .	flown; plane	"_,_,_,x,_"	"O,ARG1,O,O,O"
James steered the ship .	steered; ship	"_,x,_,_,_"	"O,O,O,ARG1,O"
The ship was steered .	steered; ship	"_,_,_,x,_"	"O,ARG1,O,O,O"
Helen grew the crop .	grew; crop	"_,x,_,_,_"	"O,O,O,ARG1,O"
The crop was grown .	grown; crop	"_,_,_,x,_"	"O,ARG1,O,O,O"
George planted the seed .	planted; seed	"_,x,_,_,_"	"O,O,O,ARG1,O"
The seed was planted .	planted; seed	"_,_,_,x,_"	"O,ARG1,O,O,O"
Laura fixed the engine .	fixed; engine	"_,x,_,_,_"	"O,O,O,ARG1,O"
The engine was fixed .	fixed; engine	"_,_,_,x,_"	"O,ARG1,O,O,O"
Kevin repaired the pipe .	repaired; pipe	"_,x,_,_,_"	"O,O,O,ARG1,O"
The pipe was repaired .	repaired; pipe	"_,_,_,x,_"	"O,ARG1,O,O,O"
Rachel wired the circuit .	wired; circuit	"_,x,_,_,_"	"O,O,O,ARG1,O"
The circuit was wired .	wired; circuit	"_,_,_,x,_"	"O,ARG1,O,O,O"
Brian cured the patient .	cured; patient	"_,x,_,_,_"	"O,O,O,ARG1,O"
The patient was cured .	cured; patient	"_,_,_,x,_"	"O,ARG1,O,O,O"
Alice treated the wound .	treated; wound	"_,x,_,_,_"	"O,O,O,ARG1,O"
The wound was treated .	treated; wound	"_,_,_,x,_"	"O,ARG1,O,O,O"
Simon taught the lesson .	taught; lesson	"_,x,_,_,_"	"O,O,O,ARG1,O"
The lesson was taught .	taught; lesson	"_,_,_,x,_"	"O,ARG1,O,O,O"
Clara read the book .	read; book	"_,x,_,_,_"	"O,O,O,ARG1,O"
The book was read .	read; book	"_,_,_,x,_"	"O,ARG1,O,O,O"
Henry ran the experiment .	ran; experiment	"_,x,_,_,_"	"O,O,O,ARG1,O"
The experiment was run .	run; experiment	"_,_,_,x,_"	"O,ARG1,O,O,O"
Diana found the element .	found; element	"_,x,_,_,_"	"O,O,O,ARG1,O"
The element was found .	found; element	"_,_,_,x,_"	"O,ARG1,O,O,O"
Victor solved the crime .	solved; crime	"_,x,_,_,_"	"O,O,O,ARG1,O"
The crime was solved .	solved; crime	"_,_,_,x,_"	"O,ARG1,O,O,O"
Fiona caught the thief .	caught; thief	"_,x,_,_,_"	"O,O,O,ARG1,O"
The thief was caught by Fiona .	caught; thief	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Oscar sentenced the criminal .	sentenced; criminal	"_,x,_,_,_"	"O,O,O,ARG1,O"
The criminal was sentenced by Oscar .	sentenced; criminal	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Grace defended the client .	defended; client	"_,x,_,_,_"	"O,O,O,ARG1,O"
The client was defended by Grace .	defended; client	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Noah delivered the verdict .	delivered; verdict	"_,x,_,_,_"	"O,O,O,ARG1,O"
The verdict was delivered by Noah .	delivered; verdict	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Mia hired the employee .	hired; employee	"_,x,_,_,_"	"O,O,O,ARG1,O"
The employee was hired by Mia .	hired; employee	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Liam fired the worker .	fired; worker	"_,x,_,_,_"	"O,O,O,ARG1,O"
The worker was fired by Liam .	fired; worker	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Chloe launched the product .	launched; product	"_,x,_,_,_"	"O,O,O,ARG1,O"
The product was launched by Chloe .	launched; product	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Ethan won the match .	won; match	"_,x,_,_,_"	"O,O,O,ARG1,O"
The match was won by Ethan .	won; match	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Zoe scored the goal .	scored; goal	"_,x,_,_,_"	"O,O,O,ARG1,O"
The goal was scored by Zoe .	scored; goal	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Luke blew the whistle .	blew; whistle	"_,x,_,_,_"	"O,O,O,ARG1,O"
The whistle was blown by Luke .	blown; whistle	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Lily played the instrument .	played; instrument	"_,x,_,_,_"	"O,O,O,ARG1,O"
The instrument was played by Lily .	played; instrument	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Adam arranged the symphony .	arranged; symphony	"_,x,_,_,_"	"O,O,O,ARG1,O"
The symphony was arranged by Adam .	arranged; symphony	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Eva performed the role .	performed; role	"_,x,_,_,_"	"O,O,O,ARG1,O"
The role was performed by Eva .	performed; role	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Ryan filmed the movie .	filmed; movie	"_,x,_,_,_"	"O,O,O,ARG1,O"
The movie was filmed by Ryan .	filmed; movie	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Nora funded the project .	funded; project	"_,x,_,_,_"	"O,O,O,ARG1,O"
The project was funded by Nora .	funded; project	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Jack swept the floor .	swept; floor	"_,x,_,_,_"	"O,O,O,ARG1,O"
The floor was swept by Jack .	swept; floor	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Ruby mopped the hallway .	mopped; hallway	"_,x,_,_,_"	"O,O,O,ARG1,O"
The hallway was mopped by Ruby .	mopped; hallway	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Owen dusted the shelf .	dusted; shelf	"_,x,_,_,_"	"O,O,O,ARG1,O"
The shelf was dusted by Owen .	dusted; shelf	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Lucy sewed the dress .	sewed; dress	"_,x,_,_,_"	"O,O,O,ARG1,O"
The dress was sewn by Lucy .	sewn; dress	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Evan mended the cabling .	mended; cabling	"_,x,_,_,_"	"O,O,O,ARG1,O"
The cabling was mended by Evan .	mended; cabling	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Mila forged the sword .	forged; sword	"_,x,_,_,_"	"O,O,O,ARG1,O"
The sword was forged by Mila .	forged; sword	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Cole crafted the table .	crafted; table	"_,x,_,_,_"	"O,O,O,ARG1,O"
The table was crafted by Cole .	crafted; table	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Maya designed the building .	designed; building	"_,x,_,_,_"	"O,O,O,ARG1,O"
The building was designed by Maya .	designed; building	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Sean tested the bridge .	tested; bridge	"_,x,_,_,_"	"O,O,O,ARG1,O"
The bridge was tested by Sean .	tested; bridge	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
Tara coded the software .	coded; software	"_,x,_,_,_"	"O,O,O,ARG1,O"
The software was coded by Tara .	coded; software	"_,_,_,x,_,_,_"	"O,ARG1,O,O,O,O,O"
